date,fund,fund_id,universe,method,portfolio_return,growth_of_1,drawdown
2022-01-26,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.009380720339515173,1.1102069172922957,-0.08707344624460289
2022-01-27,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0017027026255994123,1.1083165650592635,-0.08862788868466165
2022-01-28,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.027054976887115917,1.1383020441105496,-0.06397073727746316
2022-01-31,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00884304380521393,1.1483680989501837,-0.05569338950424574
2022-02-01,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.007823084596087916,1.1573518797357194,-0.048305999005692546
2022-02-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.017767816463751293,1.1779154955188413,-0.03139647466637252
2022-02-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.00641047730445701,1.1703644949682497,-0.03760568558254063
2022-02-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0018481095221595072,1.1682015332007014,-0.039384295679087744
2022-02-07,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004123763608922961,1.1730189201712025,-0.035422943595449286
2022-02-08,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.004347606586211209,1.1781187449542891,-0.03122934203211669
2022-02-09,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.014115988505613918,1.194749055616312,-0.01755418655966612
2022-02-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.01752946495036472,1.1738057439214047,-0.03477593601200091
2022-02-11,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.009546279678081044,1.162600266002193,-0.04399023487884424
2022-02-14,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0044368414766801905,1.157441992921195,-0.048231898656845185
2022-02-15,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00865329657042705,1.1674576817490083,-0.03999596700965047
2022-02-16,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0008085949056706476,1.1684016820830567,-0.03921971263915114
2022-02-17,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.011674708845791476,1.154760932629804,-0.05043654275886489
2022-02-18,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.005517628419921772,1.1483893908897105,-0.05567588107705779
2022-02-22,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0062969167425468596,1.141158078507254,-0.06162221143189439
2022-02-23,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.007319492178195224,1.1328053808775358,-0.06849066031551077
2022-02-24,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0012432531821359545,1.1342137447720526,-0.0673325583647586
2022-02-25,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.035775425029252725,1.1747907235652932,-0.03396598422931196
2022-02-28,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.0014537891607470344,1.173082825545228,-0.03537039401035236
2022-03-01,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.006195029265229388,1.1658155431104371,-0.04134630264956496
2022-03-02,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.019135531459552883,1.1881240431116626,-0.023001954665099023
2022-03-03,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.006412832372677781,1.195743283438086,-0.016736629971932482
2022-03-04,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.010226487249910921,1.207971536880332,-0.006681299655036055
2022-03-07,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.010121211364902308,1.1957454016327804,-0.016734888173937423
2022-03-08,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.015650029991721326,1.1770319502347646,-0.03212301666382844
2022-03-09,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.00931413411113213,1.1879949836723385,-0.02310808063795744
2022-03-10,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.007897599509399555,1.1973772922725583,-0.015392979494867398
2022-03-11,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.006342680759179591,1.1897827103593825,-0.021638027499178425
2022-03-14,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,-0.008321009029027457,1.1798825176839014,-0.029778986306014832
2022-03-15,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.011851166709197825,1.1938655020982414,-0.018280735327960596
2022-03-16,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.005823487045151165,1.2008179623833635,-0.012563705908167577
2022-03-17,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.013676356401505187,1.2172407768102476,0.0
2022-03-18,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.009486876476797301,1.2287885897023672,0.0
2022-03-21,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.013672262691191856,1.245588910092717,0.0
2022-03-22,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0010826804552180305,1.2469374848609107,0.0
2022-03-23,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.0016980020736231832,1.249054787295883,0.0
2022-03-24,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.016488440199497197,1.2696497524621069,0.0
2022-03-25,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,0.01059309729782058,1.2830992758240918,0.0
