date,fund,fund_id,universe,method,weight_effective_date,portfolio_lagged_sentiment,total_equity_weight,observed_equity_weight,missing_equity_weight,sentiment_weight_coverage,observed_sector_count,missing_sector_count,latest_signal_source_date
2023-10-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.10976011007326006,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-10
2023-10-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.1028631952401865,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-11
2023-10-13,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.14921082895021642,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-12
2023-10-16,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.11788357665732958,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-13
2023-10-17,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.1161976712433862,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-16
2023-10-18,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.0800190055705961,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-17
2023-10-19,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.050096550323395016,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-18
2023-10-20,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.11977491161801156,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-19
2023-10-23,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.08829763487902888,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-20
2023-10-24,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.085140967030192,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-23
2023-10-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.13589287941382286,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-24
2023-10-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.1192312917103364,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-25
2023-10-27,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.12841716037581696,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-26
2023-10-30,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.0831030699544708,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-27
2023-10-31,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2023-10-03,0.11796409882339877,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2023-10-30
